# SSG Issues Database
# id	file_path	category	status	severity	description	last_updated	source
ISS-001	ssg-md/src/main/scala/ssg/md/util/misc/ArrayUtils.scala	missing-file	open	high	File missing - migration DB says ported but file does not exist. Original ArrayUtils.java has: contained, append, firstOf, indexOf, lastOf, lastIndexOf, toArray.	2026-03-31	manual
ISS-002	ssg-md/src/test/scala/ssg/md/core/test/ComboCoreSpecTest.scala	missing-coverage	open	high	CommonMark spec.txt and spec.0.26..0.30.txt are present as test resources but not loaded by any runner — ssg-md has zero CommonMark conformance tests. Only flexmark's internal ast_spec.md is run. Headline gap from docs/architecture/flexmark-port.md Gap Analysis (2026-04-07).	2026-04-07	manual
ISS-003	ssg-md/src/main/scala/ssg/md/ext/attributes/internal/AttributesNodeFormatter.scala	incomplete-port	open	high	Full AttributesNodeFormatter port pending — TODO at lines 21,36. ext-attributes LOC ratio 0.62 (lowest of all extensions). Markdown→markdown formatting of {#id .class} blocks is a stub.	2026-04-07	manual
ISS-004	ssg-md/src/main/scala/ssg/md/ext/toc/internal/SimTocNodeFormatter.scala	incomplete-port	open	high	Full SimTocNodeFormatter port pending — TODO at lines 21,34. SimToc formatter is a stub.	2026-04-07	manual
ISS-005	ssg-md/src/main/scala/ssg/md/util/sequence/Escaping.scala	incomplete-port	open	medium	Escaping.normalizeEOL/normalizeEndWithEOL with ReplacedTextMapper throw UnsupportedOperationException (lines 576,581). Replacer simplified to backslash escapes only — Html5Entities-backed numeric/named entity decoding is a stub (lines 79,102,137).	2026-04-07	manual
ISS-006	ssg-md/src/main/scala/ssg/md/formatter/MarkdownWriter.scala	incomplete-port	open	medium	Nested block-quote prefix handling simplified (lines 79-84). Round-trip formatting of nested > quotes loses structure beyond one level.	2026-04-07	manual
ISS-007	ssg-liquid/src/main/scala/ssg/liquid/Template.scala	bug	open	high	withMaxRenderTimeMillis is a no-op: renderToObject never wraps in Future/ExecutorService nor checks the limit. Original Template.java enforces it via Future.get(maxRenderTimeMillis). See docs/architecture/liquid-port-gap-analysis.md §4.3.	2026-04-07	manual
ISS-008	ssg-liquid/src/main/scala/ssg/liquid/Template.scala	bug	open	high	include_relative broken from disk: Template never tracks sourceLocation nor populates REGISTRY_ROOT_FOLDER. Original Template.java setRootFolderRegistry does this. IncludeRelative cannot resolve. See gap-analysis §4.3.	2026-04-07	manual
ISS-009	ssg-liquid/src/main/scala/ssg/liquid/Template.scala	missing-feature	open	high	Missing render API surface: render(jsonString), render(Inspectable), render(key,value,kvs*), errors() accessor, withContextHolder, toStringTree, getParseTree, render(Map,ExecutorService,bool). Port has only render()/render(JMap)/renderToObject(JMap)/renderToObjectUnguarded. See gap-analysis §4.3.	2026-04-07	manual
ISS-010	ssg-liquid/src/main/scala/ssg/liquid/Template.scala	bug	open	medium	evaluateMode EAGER and LAZY branches are identical (both new LinkedHashMap(variables)). Either implement EAGER via LiquidSupport or remove the enum. See gap-analysis §4.3.	2026-04-07	manual
ISS-011	ssg-liquid/src/main/scala/ssg/liquid/Template.scala	missing-feature	open	medium	Missing maxTemplateSizeBytes guard. Original Template.java checks this.templateSize > maxTemplateSizeBytes; port doesn't track template size.	2026-04-07	manual
ISS-012	ssg-liquid/src/main/scala/ssg/liquid/TemplateParser.scala	bug	open	high	Builder._liquidStyleWhere field is read in build() but has NO setter — withLiquidStyleWhere setter missing. Flavor's liquidStyleWhere can never be overridden. Confirmed bug; gap-analysis §4.1.	2026-04-07	manual
